0.1800	-0.8200	-0.5387	0.9975
-0.4680	0.4500	-1.0570	1.2405
1.2300	0.5900	-0.4180	1.4268
0.5700	-0.5200	-1.1443	1.3801
0.0400	-0.9100	-0.6720	1.1319
-0.4900	1.1300	-0.7230	1.4282
1.3400	0.3600	-0.5350	1.4871
0.7600	0.1300	-0.5530	0.9488
-0.1300	-0.5200	-1.0874	1.2123
-0.2460	-0.4500	-1.1080	1.2209
1.1300	-0.2800	-0.3680	1.2210
0.5800	-0.4400	-0.7107	1.0174
-0.1200	-0.6500	-1.0080	1.2054
-0.5300	-0.4900	-1.2800	1.4695
1.1300	0.3600	-0.4880	1.2824
0.3300	-1.2900	-0.6820	1.4960
0.5200	-0.5500	-0.8465	1.1355
-0.6000	-0.9100	-0.8208	1.3645
-0.5380	-0.5100	-0.8410	1.1211
0.7500	0.2700	-0.6600	1.0349
0.7200	-0.6200	-1.2235	1.5491
0.0500	0.8400	-1.1101	1.3930
0.2700	-1.1000	-0.6497	1.3058
-0.8100	0.0500	-1.0800	1.3509
1.0300	-0.6800	-0.2110	1.2521
0.9400	-0.0600	-0.2248	0.9684
0.4000	-0.4000	-1.3698	1.4820
0.3840	-0.4400	-1.2210	1.3535
1.0700	0.6200	-0.3780	1.2931
-0.9400	-0.8000	-0.6400	1.3904
0.2800	0.2200	-1.2555	1.3050
-0.3230	0.2900	-1.1220	1.2030
0.3700	-1.1900	-0.5030	1.3439
-0.5900	0.2800	-1.2117	1.3765
0.1000	0.6300	-1.0169	1.2004
-0.5800	-0.5300	-1.2840	1.5053
-0.3600	-0.2100	-1.1860	1.2571
-0.2100	-0.8600	-0.6270	1.0848
0.2400	1.1800	-0.4873	1.2990
-0.7540	-0.5900	-0.9013	1.3149
0.5500	0.9200	-0.4500	1.1625
0.3200	-0.8600	-1.1530	1.4736
0.9600	-0.0400	-0.6551	1.1629
-0.4390	-0.5400	-1.0404	1.2517
1.0500	-0.6800	-0.6553	1.4122
0.6000	-1.3200	-0.0730	1.4518
0.0200	0.9800	-0.9356	1.3550
-0.9000	-0.4500	-0.7090	1.2309
-0.4100	-1.0400	-0.0798	1.1207
0.2400	1.0500	-0.3417	1.1300
0.6500	-0.9000	0.2890	1.1472
0.6800	0.9800	-0.5862	1.3291
-1.0600	-0.5800	-0.7760	1.4360
-0.2000	0.2100	-1.4580	1.4866
1.3200	-0.0200	-0.2760	1.3487
0.5900	-1.2000	-0.4800	1.4207
0.6200	1.1000	-0.7697	1.4788
-1.0400	-0.3800	-0.7550	1.3402
-0.7700	0.3500	-1.0047	1.3133
-0.1700	0.9500	-1.1090	1.4701
0.5100	-0.8900	-0.0340	1.0263
-0.6800	-0.1300	-1.2740	1.4500
-0.8200	-0.6600	-0.6280	1.2257
-1.0100	0.6200	-0.8100	1.4355
1.3400	-0.0800	-0.2130	1.3592
-0.7000	-0.6000	-0.7480	1.1872
0.3600	-0.8300	-1.0681	1.3998
1.4300	-0.1500	0.3120	1.4713
-0.0800	-0.8700	-0.6540	1.0913
0.5300	-0.4600	-1.0814	1.2892
-0.5300	-0.9000	-0.4182	1.1251
1.2300	0.5700	-0.3400	1.3976
-0.9300	-0.5200	-0.9780	1.4463
