# frame  R_idx  L_idx   Re    Re2
88 16 17 16.060797 257.949216
88 20 21 16.034493 257.104981
88 26 27 16.472628 271.347485
88 28 29 15.537853 241.424869
89 2 3 15.924851 253.600884
89 8 9 15.652236 244.992478
89 10 11 16.110826 259.558700
89 12 13 16.003784 256.121100
89 16 17 16.058126 257.863401
89 20 21 15.432783 238.170784
89 26 27 16.141203 260.538425
89 28 29 15.380436 236.557816
90 2 3 15.694594 246.320296
90 8 9 15.745854 247.931924
90 10 11 15.949462 254.385353
90 12 13 15.830438 250.602761
90 16 17 16.114643 259.681725
90 20 21 15.953077 254.500669
90 26 27 15.694101 246.304810
90 28 29 16.355957 267.517324
91 2 3 16.800894 282.270056
91 8 9 15.599910 243.357185
91 10 11 15.813488 250.066388
91 12 13 15.411415 237.511700
91 16 17 16.274526 264.860184
91 20 21 15.634694 244.443656
91 26 27 16.082551 258.648445
91 28 29 15.226855 231.857125
92 2 3 16.358282 267.593400
92 8 9 15.620390 243.996597
92 10 11 15.673218 245.649764
92 12 13 15.472705 239.404596
92 16 17 16.601904 275.623200
92 20 21 15.932089 253.831470
92 26 27 16.010565 256.338185
92 28 29 15.674138 245.678609
93 2 3 15.965373 254.893121
93 8 9 15.822951 250.365764
93 10 11 15.632728 244.382181
93 12 13 16.122689 259.941096
93 16 17 15.800474 249.654981
93 20 21 16.454939 270.765029
93 26 27 16.066601 258.135665
93 28 29 15.783767 249.127289
94 2 3 15.710416 246.817181
94 8 9 15.592790 243.135108
94 10 11 16.342058 267.062858
94 12 13 16.039112 257.253100
94 16 17 15.974140 255.173156
94 20 21 16.070093 258.247896
94 26 27 16.290825 265.390965
94 28 29 16.142148 260.568929
95 2 3 15.914453 253.269800
95 8 9 16.252987 264.159601
95 10 11 16.160780 261.170802
95 12 13 15.654711 245.069981
95 16 17 16.836987 283.484136
95 20 21 15.649285 244.900132
95 26 27 15.817048 250.178993
95 28 29 15.821881 250.331909
96 2 3 15.754825 248.214525
96 8 9 15.784628 249.154476
96 10 11 16.116265 259.733998
96 12 13 16.176581 261.681769
96 16 17 15.794849 249.477269
96 20 21 16.007788 256.249269
96 26 27 16.403306 269.068437
96 28 29 15.394283 236.983953
97 2 3 16.581337 274.940749
97 8 9 15.987285 255.593296
97 10 11 15.522687 240.953805
97 12 13 15.693794 246.295176
97 16 17 15.904984 252.968504
97 20 21 15.977230 255.271889
97 26 27 16.129347 260.155838
97 28 29 15.730623 247.452501
98 2 3 16.123701 259.973729
98 8 9 15.744423 247.886850
98 10 11 16.095332 259.059721
98 12 13 16.149063 260.792241
98 16 17 16.359757 267.641664
98 20 21 15.561935 242.173829
98 26 27 15.930642 253.785345
98 28 29 15.987054 255.585900
99 2 3 15.904806 252.962849
99 8 9 15.735677 247.611541
99 10 11 16.048010 257.538614
99 12 13 15.898370 252.758184
99 16 17 15.761239 248.416661
99 20 21 16.026153 256.837588
99 26 27 15.641448 244.654885
99 28 29 15.496139 240.130324
100 2 3 16.180640 261.813100
100 8 9 15.725693 247.297416
100 10 11 15.911458 253.174489
100 12 13 16.160303 261.155404
100 16 17 15.389767 236.844929
100 20 21 15.460226 239.018582
100 26 27 16.233123 263.514296
100 28 29 15.752044 248.126900
101 2 3 16.546655 273.791784
101 8 9 15.922598 253.529129
101 10 11 16.211646 262.817450
101 12 13 15.763909 248.500825
101 16 17 16.268433 264.661925
101 20 21 16.458339 270.876925
101 26 27 15.414517 237.607325
101 28 29 15.897161 252.719741
