# frame	protein_index	rx	ry	rz	r
19	28	-2.721600	-1.025000	-6.139000	6.793015
19	1	-1.650000	4.777000	-1.440000	5.255076
19	3	4.250000	2.141000	-2.417000	5.337440
19	5	-3.576000	-3.410000	-5.443000	7.351335
19	11	3.080000	0.740000	-5.685000	6.507936
19	13	-2.570000	-2.490000	-6.519600	7.437082
19	15	-5.140000	-1.760000	-4.261000	6.904587
19	17	-3.250000	3.790000	-4.804000	6.928565
19	21	-1.900000	2.520000	-5.728000	6.539907
19	23	-4.420000	1.850000	-4.674000	6.693667
19	27	-3.370000	1.876760	-5.296400	6.552174
19	29	1.450000	3.550000	-6.131000	7.231470
20	0	2.810000	-2.490000	-5.189000	6.404836
20	2	-0.060000	0.210000	-7.160000	7.163330
20	4	-3.380000	0.470000	-6.074000	6.966978
20	6	-1.550000	-3.820000	-5.515850	6.886182
20	8	1.100000	-0.828000	-6.940000	7.075252
20	12	-2.590000	-4.170000	-4.537000	6.684412
20	14	1.320000	0.480000	-6.795000	6.938647
20	18	-2.090000	1.192000	-6.105000	6.562011
20	20	-0.450000	-2.160000	-7.059200	7.395972
20	22	-4.160000	4.050000	-2.624000	6.371301
20	28	-4.825000	-1.738000	-4.181000	6.616799
20	1	-1.713000	2.077000	-6.670000	7.192857
20	3	-2.590000	-2.688000	-5.189400	6.392442
20	5	-3.578000	-2.960000	-4.483000	6.454531
20	11	0.660000	1.390000	-5.796000	5.996775
20	13	-1.890000	2.250000	-6.574400	7.201204
20	15	-1.800000	1.160000	-6.312700	6.666017
20	17	-2.190000	5.050000	-4.530000	7.128780
20	21	1.170000	-3.810000	-5.805000	7.041521
20	23	3.870000	-0.260000	-5.865000	7.031552
20	27	-1.780000	3.607000	-3.366000	5.244884
20	29	0.590000	4.360000	-5.655000	7.164965
21	0	-3.760000	0.430000	-6.291000	7.341606
21	2	1.472000	-0.490000	-6.162200	6.354494
21	4	-3.910000	-1.020000	-5.459000	6.791847
21	6	1.710000	4.670000	-1.468000	5.185366
21	8	-2.740000	-3.540000	-4.589000	6.410782
21	12	2.070000	-5.140000	-4.020000	6.845794
21	14	-3.460000	0.680000	-5.322000	6.384174
21	18	3.970000	2.883000	-5.164000	7.123165
21	20	0.010000	-2.440000	-6.042000	6.516093
21	22	-0.610000	-0.040000	-7.435000	7.460089
21	28	3.162000	2.443000	-5.485400	6.786465
21	1	3.510000	2.742000	-3.864000	5.896538
21	3	-2.310000	-1.297000	-6.271000	6.807624
21	5	-4.103800	4.650000	-2.606000	6.727177
