# frame	R_proto	L_proto	RB_LB_dist
193	20	23	1.487876
193	24	25	1.407531
194	1	12	1.176133
194	5	18	1.438823
194	6	7	1.228217
194	14	27	1.028720
194	15	22	1.144434
194	20	23	1.224428
194	24	25	1.028671
195	1	12	1.230473
195	5	18	1.064320
195	6	7	1.318335
195	14	27	1.339984
195	15	22	1.190978
195	20	23	1.421797
195	24	25	1.283391
196	1	12	1.182758
196	5	18	1.156986
196	6	7	1.248117
196	14	27	1.370315
196	15	22	1.322751
196	20	23	1.352487
196	24	25	1.299360
197	1	12	1.001593
197	5	18	1.275423
197	6	7	119.407507
197	14	27	1.197265
197	15	22	1.142881
197	20	23	1.221432
197	24	25	1.418450
198	1	12	1.218173
198	5	18	1.063335
198	6	7	1.078315
198	14	27	1.189900
198	15	22	1.328083
198	20	23	1.515796
198	24	25	1.181850
199	1	12	1.114618
199	5	18	1.389211
199	6	7	119.655583
199	14	27	1.223526
199	15	22	1.305088
199	24	25	1.440073
200	1	12	1.415680
200	5	18	1.142198
200	6	7	1.087415
200	14	27	1.214856
200	15	22	1.147746
200	24	25	1.011157
201	1	12	1.096597
201	5	18	1.163640
201	6	7	119.675393
201	14	27	1.166508
201	15	22	119.954626
201	24	25	1.265578
202	1	12	1.452440
202	5	18	1.313898
202	6	7	1.210817
202	14	27	1.200047
202	15	22	1.419445
202	24	25	1.374317
203	1	12	1.092003
203	5	18	1.477217
203	6	7	1.182240
203	14	27	1.270019
203	15	22	1.481398
203	24	25	1.485792
204	1	12	1.187658
204	5	18	1.480467
204	6	7	1.152622
204	14	27	1.449373
204	15	22	119.544708
204	24	25	1.441411
205	1	12	1.111395
205	5	18	1.425657
205	6	7	1.130933
205	14	27	1.276624
205	15	22	1.162866
205	24	25	1.059931
206	1	12	1.464898
206	5	18	1.329514
206	6	7	1.436098
206	14	27	1.390333
206	15	22	1.079415
206	24	25	1.358415
207	1	12	1.059732
207	5	18	1.002093
207	6	7	1.150236
207	14	27	1.176980
207	15	22	119.093561
207	24	25	1.285411
208	1	12	1.369162
208	5	18	1.239629
208	6	7	1.343806
208	14	27	1.274002
208	15	22	1.225408
208	24	25	1.353281
209	1	12	1.436978
209	5	18	1.303599
209	6	7	1.415043
209	14	27	1.394683
209	15	22	1.138374
209	24	25	1.317851
210	1	12	1.347397
210	5	18	1.478865
210	6	7	1.373998
210	14	27	1.161257
210	15	22	119.135563
210	24	25	1.410069
211	1	12	1.482696
211	5	18	1.431402
211	6	7	1.381671
211	14	27	1.022945
211	15	22	119.626194
211	24	25	1.225257
212	1	12	1.284136
212	5	18	1.393647
212	6	7	1.288299
212	14	27	1.435143
212	15	22	119.667828
212	16	19	1.497361
212	24	25	1.343090
213	5	18	1.145239
213	6	7	1.336662
213	14	27	1.137492
213	15	22	1.414782
213	16	19	1.165020
213	24	25	1.411542
214	5	18	1.441114
214	6	7	1.258762
214	14	27	1.329362
214	15	22	1.500116
214	16	19	1.415641
214	24	25	1.274013
215	5	18	1.472871
215	6	7	1.107256
215	14	27	1.326849
215	15	22	1.006209
215	16	19	1.210234
215	24	25	1.424634
216	5	18	1.113326
216	6	7	1.191986
216	14	27	1.172914
216	15	22	1.426668
216	16	19	1.216863
216	24	25	1.094038
217	1	12	1.102541
217	5	18	1.383536
217	6	7	1.364026
217	14	27	1.411441
217	16	19	1.134328
217	24	25	1.295238
218	1	12	1.106788
218	5	18	1.251592
218	6	7	1.435530
218	14	27	1.513374
218	16	19	1.192262
218	24	25	1.225985
219	1	12	1.176831
219	5	18	1.102695
219	6	7	1.111731
219	14	27	1.217679
219	16	19	1.047872
219	24	25	1.272297
220	1	12	1.288910
220	5	18	1.179635
220	6	7	1.445671
220	14	27	1.204832
220	16	19	1.248684
220	24	25	1.369666
221	1	12	1.463140
221	5	18	1.128781
221	6	7	1.537503
221	14	27	1.045968
221	16	19	1.346669
221	24	25	1.343694
222	1	12	1.517351
222	5	18	1.472110
222	6	7	1.193871
222	16	19	1.058534
222	24	25	1.294508
223	1	12	1.581903
223	5	18	1.161113
223	6	7	1.201247
223	13	14	0.990621
223	16	19	1.411763
223	24	25	1.364849
224	1	12	1.176743
224	5	18	1.230279
224	6	7	1.290820
224	13	14	1.157432
224	16	19	1.367066
224	24	25	1.235995
225	1	12	1.230119
225	5	18	1.441377
225	6	7	1.362021
225	13	14	1.186550
225	16	19	1.133923
225	24	25	1.022145
226	1	12	1.294243
226	5	18	1.194368
226	6	7	1.057898
226	13	14	1.226387
226	16	19	1.251593
226	24	25	1.242159
227	1	12	1.329835
227	5	18	1.217603
227	6	7	1.085066
227	13	14	1.309603
227	16	19	1.238645
227	24	25	1.118392
228	1	12	1.429780
228	5	18	1.231123
228	6	7	1.304056
228	13	14	1.081301
228	16	19	1.324851
228	24	25	1.228091
229	1	12	1.115637
229	5	18	1.276889
229	13	14	1.425973
229	16	19	1.119046
229	24	25	1.257319
230	1	12	1.162769
230	5	18	1.576577
230	13	14	1.063000
230	16	19	0.992741
230	24	25	1.128375
231	1	12	1.518787
231	5	18	1.124736
231	13	14	1.307249
231	16	19	1.179866
231	24	25	1.277177
232	1	12	1.099911
232	5	18	1.458158
232	13	14	1.421546
232	16	19	1.153720
232	24	25	1.161768
233	1	12	1.373398
233	5	18	1.378714
233	13	14	1.146066
233	16	19	1.073546
233	17	20	1.294628
233	24	25	1.585473
234	1	12	1.183038
234	5	18	1.237310
234	16	19	1.070948
234	17	20	1.158713
234	24	25	1.039791
235	1	12	1.355885
235	6	7	1.078609
235	16	19	1.372389
235	17	20	1.321522
235	24	25	1.313436
236	1	12	1.357570
236	6	7	1.315712
236	16	19	1.088577
236	17	20	1.240615
236	24	25	1.370580
237	1	12	1.273382
237	6	7	1.479865
237	16	19	119.144557
237	17	20	1.354548
237	24	25	1.320759
238	1	12	1.334381
238	6	7	0.971416
238	10	11	1.427964
238	16	19	1.265363
238	17	20	1.145159
238	24	25	1.424924
239	1	12	1.065509
239	6	7	1.136469
239	10	11	1.282582
239	16	19	1.497692
239	17	20	1.311275
239	24	25	1.391098
