# frame	protein_index	rx	ry	rz	r
54	24	0.270000	1.260000	-6.969200	7.087330
54	21	-0.060000	-5.970000	-3.470000	6.905462
54	25	-0.010000	0.880000	-7.314200	7.366955
55	8	-2.090000	4.912000	-4.845900	7.209618
55	18	-0.520000	4.360000	-4.090400	6.000948
55	24	-2.510000	-0.090000	-6.525000	6.991697
55	9	2.690000	-3.240000	-4.951100	6.499776
55	21	1.300000	-3.640000	-5.784200	6.956764
55	25	-0.840000	-0.390000	-6.971000	7.032250
56	8	-1.200000	4.795000	-4.998900	7.030009
56	18	0.500000	3.216000	-5.532500	6.418817
56	24	-0.960000	-0.830000	-7.070200	7.183191
56	9	2.660000	-4.200000	-4.397620	6.637369
56	21	2.650000	-4.420000	-4.119800	6.597852
56	25	1.160000	-2.650000	-6.647000	7.249187
57	8	-0.340000	5.712000	-3.506000	6.710781
57	24	-1.010000	-0.700000	-6.810000	6.919986
57	9	1.840000	-1.470000	-6.562000	6.971825
57	25	0.640000	-2.320000	-6.424600	6.860575
58	8	-2.850000	3.631000	-5.967000	7.543988
58	24	-0.300000	2.260000	-6.646170	7.026320
58	9	0.440000	-3.490000	-5.403000	6.447178
58	25	0.090000	-1.290000	-6.668500	6.792723
59	8	-2.660000	5.469000	-4.383000	7.496416
59	24	0.160000	-0.180000	-7.443000	7.446895
59	9	2.180000	-2.290000	-6.404000	7.141969
59	25	-1.680000	-1.660000	-5.735000	6.202276
60	8	-2.710000	2.777000	-6.168700	7.287571
60	24	-0.940000	-0.600000	-7.014100	7.102197
60	9	-0.060000	-4.485000	-4.559300	6.395783
60	25	-1.580000	-0.800000	-7.051200	7.270201
61	8	-1.480000	1.245000	-6.637000	6.913045
61	22	-0.650000	5.010000	-4.783000	6.956989
61	24	-1.620000	-0.180000	-6.753900	6.947803
61	9	1.810000	-4.647000	-3.624000	6.164745
61	15	1.050000	0.710000	-6.452900	6.576209
61	25	2.060000	0.940000	-6.283300	6.678852
62	8	-1.230000	3.579000	-5.883000	6.995129
62	14	-4.110000	3.270000	-4.227000	6.741849
62	22	1.710000	3.380000	-6.378000	7.418044
62	24	1.140000	-2.740000	-6.466100	7.114608
62	9	2.330000	-3.090000	-5.555500	6.770567
62	15	2.680000	1.170000	-5.627500	6.341928
62	25	2.700000	0.720000	-6.704500	7.263520
62	27	0.050000	-4.687000	-4.955500	6.821103
63	8	-1.030000	1.952000	-6.169800	6.552682
63	14	-0.940000	5.170000	-4.002700	6.605612
63	22	-1.820000	2.490000	-5.795000	6.564642
63	24	-2.190000	-1.980000	-6.213300	6.879069
63	9	1.970000	-3.600000	-5.548100	6.900892
63	15	-1.590000	-2.300000	-6.140200	6.746863
63	25	0.930000	2.800000	-6.689400	7.311154
63	27	1.710000	-2.967000	-6.423800	7.279588
64	8	-3.690000	1.175000	-5.519000	6.742113
64	14	-2.370000	4.060000	-5.213430	7.019997
